Identifiant;Commune du lieu d'intervention;Type d'intervention;Numéro de la voie;Type de voie;Nom de la voie;Préfixe de la voie;location
4756;CHATEAU THEBAUD;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;MARE NOIRE;LA;47.1329618159, -1.43729984926
4757;CHATEAUBRIANT;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;LAUNAY PRIEUR;;47.7070930407, -1.36450248881
4758;CHATEAUBRIANT;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D35 RTE D'ISSE;;47.6994022777, -1.39049485674
4759;CHEMERE;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PONT BERANGER;DE;47.131390447, -1.83930955857
4762;DONGES;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D771 RDPT DES SIX CROIX;;47.3404246532, -2.09321786259
4773;JUIGNE LES MOUTIERS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D878 RTE DE POUANCE;;47.6881163834, -1.18515214925
4780;LOUISFERT;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D35 CHATEAUBRIANT - ISSE;;47.6739695341, -1.40886585777
4786;MONTOIR DE BRETAGNE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS LA BAULE - SAVENAY;;47.3281486037, -2.13170334843
4787;MONTRELAIS;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PARIS - PROVINCE;;47.4174062573, -0.978401159735
4796;NANTES;ACCIDENT VOIE PUBLIQUE;651;RUE;RENAUDIERE;DE LA;47.2504971281, -1.53448046768
4797;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;PETITE BARATTE;DE LA;47.2497724557, -1.52331704644
4798;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;JULES GRANDJOUAN;;47.2486097871, -1.51445042586
4800;NANTES;ACCIDENT VOIE PUBLIQUE;;PLACE;08/05/45;DU;47.2434541413, -1.55641515648
4801;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;BOTTIERE;DE LA;47.2398553915, -1.51957297226
4802;NANTES;ACCIDENT VOIE PUBLIQUE;;ROUTE;SAINTE LUCE;DE;47.238871798, -1.51423869422
4805;NANTES;ACCIDENT VOIE PUBLIQUE;;;RENNES;DE;47.2331768815, -1.56575686878
4809;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;TROIS ROIS;DES;47.2297707959, -1.52917281809
4810;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;JEAN-JULIEN LEMORDANT;;47.2300081651, -1.52074082699
